fips,state_name,county_name,pop_2024,latitude,longitude
01001,Alabama,Autauga County,61464,32.532237,-86.64644
01003,Alabama,Baldwin County,261608,30.659218,-87.746067
01005,Alabama,Barbour County,24358,31.870253,-85.405104
01007,Alabama,Bibb County,22258,33.015893,-87.127148
01009,Alabama,Blount County,60163,33.977358,-86.56644
01011,Alabama,Bullock County,9901,32.101759,-85.717261
01013,Alabama,Butler County,18256,31.751667,-86.681969
01015,Alabama,Calhoun County,116427,33.770516,-85.827909
01017,Alabama,Chambers County,33813,32.915504,-85.394032
01019,Alabama,Cherokee County,26138,34.069515,-85.654242
01021,Alabama,Chilton County,47262,32.854051,-86.726607
01023,Alabama,Choctaw County,12052,31.990954,-88.248889
01025,Alabama,Clarke County,22142,31.685521,-87.818624
01027,Alabama,Clay County,14239,33.2704,-85.863525
01029,Alabama,Cleburne County,15905,33.671964,-85.516126
01031,Alabama,Coffee County,56358,31.402258,-85.989602
01033,Alabama,Colbert County,58785,34.703112,-87.801457
01035,Alabama,Conecuh County,11109,31.430926,-86.988722
01037,Alabama,Coosa County,10291,32.931445,-86.243482
01039,Alabama,Covington County,37748,31.243987,-86.448721
01041,Alabama,Crenshaw County,13114,31.730311,-86.320038
01043,Alabama,Cullman County,92604,34.131923,-86.869267
01045,Alabama,Dale County,50067,31.430654,-85.609476
01047,Alabama,Dallas County,35545,32.333526,-87.11436
01049,Alabama,DeKalb County,73122,34.460915,-85.804021
01051,Alabama,Elmore County,91042,32.597229,-86.142735
01053,Alabama,Escambia County,36630,31.122287,-87.16841
01055,Alabama,Etowah County,103207,34.047641,-86.034263
01057,Alabama,Fayette County,15863,33.716157,-87.764292
01059,Alabama,Franklin County,31874,34.441989,-87.842814
01061,Alabama,Geneva County,27259,31.092382,-85.821022
01063,Alabama,Greene County,7127,32.844497,-87.9642
01065,Alabama,Hale County,15116,32.752796,-87.623061
01067,Alabama,Henry County,18141,31.516978,-85.239971
01069,Alabama,Houston County,109366,31.158183,-85.296411
01071,Alabama,Jackson County,53780,34.764114,-85.980056
01073,Alabama,Jefferson County,664744,33.553444,-86.896536
01075,Alabama,Lamar County,13543,33.787085,-88.087431
01077,Alabama,Lauderdale County,97502,34.904168,-87.651108
01079,Alabama,Lawrence County,33567,34.529776,-87.321865
01081,Alabama,Lee County,187847,32.604064,-85.353048
01083,Alabama,Limestone County,118942,34.810239,-86.981399
01085,Alabama,Lowndes County,9485,32.147888,-86.650586
01087,Alabama,Macon County,18159,32.387027,-85.692887
01089,Alabama,Madison County,423355,34.764238,-86.55108
01091,Alabama,Marengo County,18512,32.247591,-87.791091
01093,Alabama,Marion County,29323,34.138219,-87.881551
01095,Alabama,Marshall County,102156,34.309564,-86.321668
01097,Alabama,Mobile County,412339,30.684572,-88.196568
01099,Alabama,Monroe County,19057,31.580353,-87.383342
01101,Alabama,Montgomery County,225894,32.202881,-86.204461
01103,Alabama,Morgan County,126084,34.454484,-86.846402
01105,Alabama,Perry County,7719,32.639005,-87.293827
01107,Alabama,Pickens County,18508,33.2968,-88.096864
01109,Alabama,Pike County,33124,31.798653,-85.941608
01111,Alabama,Randolph County,23067,33.296461,-85.464064
01113,Alabama,Russell County,58837,32.289811,-85.18698
01115,Alabama,St. Clair County,96927,33.719491,-86.311327
01117,Alabama,Shelby County,235969,33.266893,-86.661007
01119,Alabama,Sumter County,11607,32.597481,-88.200057
01121,Alabama,Talladega County,81375,33.369314,-86.17593
01123,Alabama,Tallapoosa County,40699,32.863308,-85.799618
01125,Alabama,Tuscaloosa County,241212,33.29022,-87.522783
01127,Alabama,Walker County,65260,33.791558,-87.301094
01129,Alabama,Washington County,15018,31.408503,-88.212404
01131,Alabama,Wilcox County,9865,31.990082,-87.304935
01133,Alabama,Winston County,23869,34.154566,-87.365346
02013,Alaska,Aleutians East Borough,3632,55.245044,-161.997477
02016,Alaska,Aleutians West Census Area,5424,51.948964,179.621188
02020,Alaska,Anchorage Municipality,289600,61.17425,-149.284329
02050,Alaska,Bethel Census Area,18237,60.929141,-160.152625
02060,Alaska,Bristol Bay Borough,884,58.730546,-156.994473
02063,Alaska,Chugach Census Area,6604,60.488474,-146.203092
02066,Alaska,Copper River Census Area,2631,62.034479,-143.922167
02068,Alaska,Denali Borough,1621,63.682039,-150.027016
02070,Alaska,Dillingham Census Area,4642,59.543326,-158.267123
02090,Alaska,Fairbanks North Star Borough,94951,64.670454,-146.496061
02100,Alaska,Haines Borough,2104,59.098404,-135.575791
02105,Alaska,Hoonah-Angoon Census Area,2312,58.403336,-135.884909
02110,Alaska,Juneau City and Borough,31572,58.37291,-134.178445
02122,Alaska,Kenai Peninsula Borough,61259,60.366668,-152.322283
02130,Alaska,Ketchikan Gateway Borough,13677,55.449938,-131.106685
02150,Alaska,Kodiak Island Borough,12654,57.7044,-153.918372
02158,Alaska,Kusilvak Census Area,7946,62.283588,-163.190171
02164,Alaska,Lake and Peninsula Borough,1315,58.108507,-156.413413
02170,Alaska,Matanuska-Susitna Borough,117613,62.265626,-149.503993
02180,Alaska,Nome Census Area,9836,64.783686,-164.188912
02185,Alaska,North Slope Borough,10663,69.449343,-153.47283
02188,Alaska,Northwest Arctic Borough,7134,67.005066,-160.021086
02195,Alaska,Petersburg Borough,3436,57.112458,-133.008598
02198,Alaska,Prince of Wales-Hyder Census Area,5746,55.682773,-133.162389
02220,Alaska,Sitka City and Borough,8355,57.193204,-135.367396
02230,Alaska,Skagway Municipality,1119,59.560379,-135.338279
02240,Alaska,Southeast Fairbanks Census Area,7313,63.864997,-143.218628
02275,Alaska,Wrangell City and Borough,2064,56.180779,-132.026788
02282,Alaska,Yakutat City and Borough,690,60.017508,-140.416847
02290,Alaska,Yukon-Koyukuk Census Area,5099,65.375656,-151.578176
04001,Arizona,Apache County,64800,35.385084,-109.490172
04003,Arizona,Cochise County,125773,31.840129,-109.775163
04005,Arizona,Coconino County,145161,35.829692,-111.773728
04007,Arizona,Gila County,54073,33.789618,-110.81187
04009,Arizona,Graham County,40242,32.931828,-109.87831
04011,Arizona,Greenlee County,9410,33.238872,-109.242323
04012,Arizona,La Paz County,16992,33.72761,-114.038806
04013,Arizona,Maricopa County,4673096,33.345176,-112.49893
04015,Arizona,Mohave County,226479,35.717705,-113.749689
04017,Arizona,Navajo County,109516,35.390785,-110.321025
04019,Arizona,Pima County,1080149,32.128038,-111.783657
04021,Arizona,Pinal County,513862,32.918521,-111.366339
04023,Arizona,Santa Cruz County,50508,31.525733,-110.845228
04025,Arizona,Yavapai County,252013,34.631071,-112.577225
04027,Arizona,Yuma County,220310,32.773942,-113.910905
05001,Arkansas,Arkansas County,16050,34.28957,-91.376547
05003,Arkansas,Ashley County,17984,33.190835,-91.772267
05005,Arkansas,Baxter County,43007,36.280268,-92.329949
05007,Arkansas,Benton County,321566,36.337819,-94.256298
05009,Arkansas,Boone County,38636,36.304299,-93.079236
05011,Arkansas,Bradley County,9935,33.466549,-92.169156
05013,Arkansas,Calhoun County,4690,33.56046,-92.513879
05015,Arkansas,Carroll County,28968,36.33737,-93.540972
05017,Arkansas,Chicot County,9272,33.267139,-91.297158
05019,Arkansas,Clark County,20920,34.053316,-93.176208
05021,Arkansas,Clay County,14112,36.367302,-90.418704
05023,Arkansas,Cleburne County,25646,35.593628,-92.008898
05025,Arkansas,Cleveland County,7367,33.893201,-92.188714
05027,Arkansas,Columbia County,22024,33.223038,-93.232843
05029,Arkansas,Conway County,21422,35.26569,-92.689249
05031,Arkansas,Craighead County,115852,35.827729,-90.631421
05033,Arkansas,Crawford County,62258,35.582959,-94.236193
05035,Arkansas,Crittenden County,46633,35.197559,-90.30512
05037,Arkansas,Cross County,16194,35.285692,-90.763984
05039,Arkansas,Dallas County,6076,33.967823,-92.653999
05041,Arkansas,Desha County,10321,33.828752,-91.244103
05043,Arkansas,Drew County,16935,33.587242,-91.722778
05045,Arkansas,Faulkner County,131611,35.146548,-92.336928
05047,Arkansas,Franklin County,17586,35.508558,-93.887665
05049,Arkansas,Fulton County,12546,36.381322,-91.819285
05051,Arkansas,Garland County,99902,34.578852,-93.146932
05053,Arkansas,Grant County,18546,34.285568,-92.422979
05055,Arkansas,Greene County,46928,36.120607,-90.566346
05057,Arkansas,Hempstead County,19105,33.735953,-93.664355
05059,Arkansas,Hot Spring County,33313,34.315177,-92.944147
05061,Arkansas,Howard County,12387,34.083064,-93.990931
05063,Arkansas,Independence County,38345,35.737499,-91.559942
05065,Arkansas,Izard County,14291,36.094879,-91.913625
05067,Arkansas,Jackson County,16673,35.596467,-91.223205
05069,Arkansas,Jefferson County,63672,34.277239,-91.929673
05071,Arkansas,Johnson County,26172,35.573359,-93.466322
05073,Arkansas,Lafayette County,6015,33.240629,-93.611514
05075,Arkansas,Lawrence County,16305,36.041098,-91.101153
05077,Arkansas,Lee County,8104,34.779505,-90.779717
05079,Arkansas,Lincoln County,12868,33.956385,-91.742355
05081,Arkansas,Little River County,11626,33.701941,-94.236287
05083,Arkansas,Logan County,21457,35.218654,-93.72091
05085,Arkansas,Lonoke County,76389,34.755114,-91.894132
05087,Arkansas,Madison County,17865,36.012545,-93.724053
05089,Arkansas,Marion County,17593,36.266664,-92.678577
05091,Arkansas,Miller County,41958,33.305505,-93.901502
05093,Arkansas,Mississippi County,38095,35.766944,-90.052207
05095,Arkansas,Monroe County,6415,34.679512,-91.20331
05097,Arkansas,Montgomery County,8510,34.545656,-93.664153
05099,Arkansas,Nevada County,8004,33.666699,-93.305072
05101,Arkansas,Newton County,7026,35.910742,-93.215898
